Year_Birth;Education;Marital_Status;Estimated_Income;Kid_home;Teen_home;Registration_date;Recency;Exist_Complain;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumWebPurchases;NumCatalogPurchases;NumStorePurchases
1978;Graduation;Single;38557;1;0;19.12.2020;17;0;76;3;31;4;4;27;3;1;3
1960;Master;Married;89058;0;0;07.12.2020;18;0;454;194;106;31;22;43;5;4;4
1979;Graduation;Together;77298;0;1;02.11.2021;46;0;425;115;292;23;35;79;6;6;11
1991;PhD;Single;68126;0;0;10.11.2020;40;0;1332;17;311;23;51;86;7;4;5
1963;Master;Together;57288;0;1;25.06.2022;27;0;527;0;21;0;0;60;8;1;8
1991;Graduation;Single;86037;0;0;02.01.2021;95;0;490;44;125;29;20;22;6;7;11
1980;PhD;Married;43974;1;0;12.12.2020;19;0;378;0;101;0;0;72;6;4;6
1962;Graduation;Single;50785;1;1;10.09.2021;27;0;64;1;21;0;1;27;2;1;3
1970;Graduation;Married;90765;0;0;24.01.2022;25;0;547;99;812;151;82;33;4;6;5
1978;2n Cycle;Married;36550;1;0;19.02.2021;74;0;47;90;94;123;103;120;9;1;5
1967;2n Cycle;Together;30753;1;1;11.07.2021;85;0;12;5;25;0;9;30;1;1;3
1969;Graduation;Together;21918;1;0;14.11.2021;37;0;1;6;7;11;5;3;2;0;3
1953;Master;Together;56129;0;1;20.06.2021;65;0;320;48;133;39;72;48;6;2;10
1967;Master;Single;32557;1;0;24.02.2022;13;0;34;3;29;0;4;10;2;1;3
1985;Master;Married;19510;2;0;04.09.2021;63;0;9;0;7;3;4;7;1;0;3
1976;Graduation;Divorced;30992;1;0;22.04.2021;83;0;17;0;14;7;3;2;1;0;3
1983;Graduation;Single;101970;0;0;12.03.2021;69;0;722;27;102;44;72;168;6;8;13
1965;2n Cycle;Together;71488;0;0;18.02.2021;87;0;162;33;124;40;28;172;3;4;7
1984;Graduation;Single;79607;0;0;21.04.2021;37;0;450;133;951;173;0;216;3;6;6
1953;Master;Married;54348;1;1;08.06.2022;51;0;70;0;16;0;0;4;2;0;4
1961;PhD;Married;;0;1;11.07.2021;23;0;352;0;27;10;0;15;6;1;7
1956;PhD;Together;77376;1;1;10.05.2022;72;0;492;19;110;16;12;12;6;3;10
1952;Graduation;Married;62998;0;1;30.09.2021;10;0;120;58;73;65;89;58;5;4;5
1958;Master;Alone;61331;1;1;10.03.2021;42;0;534;5;47;0;5;41;11;1;6
1969;Graduation;Married;73448;0;0;10.02.2022;10;0;236;106;189;23;41;130;7;2;9
1963;Graduation;Married;;0;1;11.08.2021;96;0;231;65;196;38;71;124;6;5;7
1964;PhD;Married;41551;1;1;14.08.2021;51;0;220;0;33;3;0;23;5;1;5
1967;PhD;Together;62981;0;0;17.03.2021;21;0;796;14;590;38;44;0;4;5;13
1976;Basic;Divorced;9548;1;0;08.08.2020;31;0;0;1;3;10;6;9;1;0;3
1959;PhD;Married;33762;2;1;07.07.2021;61;0;53;1;34;2;0;16;2;2;2
1973;PhD;Alone;35860;1;1;19.05.2022;37;0;15;0;8;4;2;20;1;1;2
1965;PhD;Divorced;36921;1;1;28.07.2021;74;0;17;1;12;3;1;4;2;0;3
1992;Master;Single;92859;0;0;19.10.2020;46;0;962;61;921;52;61;20;5;4;12
1976;Master;Together;65104;0;1;14.11.2021;4;0;738;0;232;13;20;50;3;5;7
1962;Graduation;Married;86111;0;0;19.04.2021;73;0;399;28;756;36;40;126;5;7;10
1974;PhD;Single;68352;0;1;28.08.2021;47;0;614;16;132;43;33;33;8;5;9
1988;Graduation;Together;41883;1;0;19.03.2021;13;0;32;34;41;73;16;116;4;2;3
1976;Graduation;Married;59809;0;2;18.10.2020;36;0;598;16;141;32;41;49;3;3;6
1975;Graduation;Married;23957;1;0;28.10.2020;47;0;2;1;18;20;11;16;2;0;3
1981;Graduation;Together;38547;1;0;28.08.2021;49;1;6;1;10;0;1;4;1;0;2
1973;2n Cycle;Married;35688;2;1;22.08.2020;94;0;73;3;90;12;1;32;4;1;4
1966;Master;Married;49605;0;0;21.06.2022;65;0;42;16;29;12;20;8;2;1;4
1953;Master;Married;59354;0;2;24.04.2022;59;0;295;21;78;39;13;13;4;4;7
1969;Graduation;Married;65747;0;1;07.03.2022;96;0;346;17;48;23;13;13;8;1;6
1972;2n Cycle;Together;46344;0;1;14.12.2020;28;0;233;20;57;8;20;91;7;1;5
1988;Graduation;Alone;34176;1;0;12.05.2022;12;0;5;7;24;19;14;20;3;0;4
1952;PhD;Together;61010;0;1;09.10.2020;57;0;888;0;57;0;0;76;8;5;11
1949;Graduation;Together;69372;0;0;19.02.2021;10;0;997;26;269;34;13;42;10;4;6
1958;Graduation;Single;49967;0;1;08.07.2021;4;0;212;6;69;4;12;3;6;1;5
1978;Graduation;Single;60199;1;2;12.09.2021;49;0;8;1;7;2;0;0;0;0;3
1977;Graduation;Together;55375;0;1;17.10.2021;3;0;42;11;57;10;28;14;1;1;6
1955;Graduation;Single;80317;0;0;20.08.2021;64;0;536;11;387;149;91;57;3;4;10
1958;Master;Single;30523;2;1;01.07.2021;0;0;5;0;3;0;0;5;1;0;2
1945;PhD;Married;70356;0;0;05.11.2020;20;0;1349;16;249;43;16;33;10;6;9
1984;Graduation;Married;23228;1;0;05.01.2022;91;0;53;3;49;7;4;5;3;0;4
1975;PhD;Divorced;74165;0;0;01.05.2021;9;0;1001;12;240;16;12;12;5;4;10
1973;PhD;Married;157243;0;1;01.03.2022;98;0;20;2;1582;1;2;1;0;22;0
1966;Graduation;Together;43482;2;1;13.11.2021;83;0;18;1;32;6;3;28;2;0;4
1953;Graduation;Divorced;62551;0;0;18.11.2021;27;0;125;16;98;134;21;27;6;7;4
1959;Graduation;Divorced;52332;0;0;28.08.2021;63;0;212;5;33;7;0;2;3;2;6
1988;Graduation;Single;66951;0;0;02.11.2021;46;0;277;162;305;173;76;124;3;4;7
1957;Graduation;Together;26091;1;1;25.02.2022;84;0;15;10;19;8;17;20;2;1;3
1965;Graduation;Together;33456;1;1;21.04.2022;58;0;7;3;10;8;1;7;1;0;3
1982;Graduation;Married;28718;1;0;13.07.2021;78;0;12;4;6;11;8;16;2;0;3
1970;Graduation;Married;50447;2;0;21.04.2022;4;0;85;7;24;2;3;27;3;1;3
1959;PhD;Together;53537;1;1;30.01.2022;17;0;81;0;6;0;0;6;2;1;3
1967;Graduation;Single;52074;0;1;04.04.2022;77;0;59;0;12;0;0;48;2;2;2
1975;PhD;Married;80427;0;1;12.09.2020;56;0;1149;71;449;69;71;26;11;8;8
1948;PhD;Married;83837;0;0;16.12.2020;79;0;847;66;119;86;89;111;9;10;5
1970;PhD;Married;38853;1;1;23.05.2022;90;0;29;0;14;0;0;2;2;0;3
1959;Graduation;Together;38285;2;1;24.06.2022;96;0;2;0;5;2;0;1;0;0;3
1951;2n Cycle;Married;78497;0;0;01.12.2021;44;0;207;26;447;75;0;223;5;7;12
1976;PhD;Married;51650;0;1;11.05.2022;81;0;152;3;22;2;5;7;4;1;4
1988;2n Cycle;Married;16248;1;0;10.05.2022;77;0;12;11;10;3;12;9;2;1;3
1946;Master;Married;66835;0;0;28.09.2021;21;0;620;26;195;34;17;141;6;4;13
1984;Master;Married;30477;1;0;22.01.2022;16;0;47;1;6;0;0;12;1;1;3
1961;Basic;Married;28249;0;0;15.06.2022;80;0;1;9;7;2;14;10;2;0;3
1983;Graduation;Married;25271;1;0;05.12.2020;45;0;10;1;18;10;4;7;1;1;2
1970;PhD;Single;32303;0;1;08.03.2022;63;0;35;0;2;0;0;2;1;0;4
1966;Graduation;Married;61286;0;1;02.08.2021;34;0;356;0;107;19;9;117;7;1;8
1976;Graduation;Married;74068;0;0;19.03.2021;14;0;783;30;537;140;76;15;4;10;9
1964;PhD;Married;45759;1;1;23.02.2021;13;0;42;1;18;3;0;4;2;0;3
1978;Basic;Together;24882;1;0;09.09.2020;52;0;1;4;10;29;0;36;1;1;2
1989;PhD;Together;66973;0;0;17.05.2021;98;0;466;22;432;147;113;102;8;7;12
1900;2n Cycle;Divorced;36640;1;0;26.09.2021;99;1;15;6;8;7;4;25;2;1;2
1988;Graduation;Married;38872;1;0;30.05.2021;93;0;23;3;21;3;19;22;3;0;3
1973;Graduation;Married;51148;1;1;18.02.2021;38;0;235;6;45;8;9;12;5;1;6
1977;Graduation;Married;31353;1;1;29.12.2021;24;0;10;0;10;3;1;7;1;1;2
1980;Master;Married;69661;0;0;13.05.2022;80;0;656;16;106;32;16;8;7;3;12
1954;Graduation;Married;80067;0;0;19.09.2021;82;0;519;17;813;27;173;51;4;6;6
1954;Graduation;Married;86718;0;0;17.01.2021;20;0;344;189;482;50;33;172;5;6;5
1973;PhD;Single;46854;1;1;31.03.2022;81;0;96;1;79;7;1;79;5;1;3
1952;Graduation;Divorced;69142;0;1;29.06.2022;50;0;448;4;34;6;4;39;8;1;7
1968;Graduation;Single;75922;0;0;09.12.2021;60;0;265;138;553;224;23;92;4;4;9
1978;Graduation;Divorced;63693;0;1;14.10.2021;63;0;587;43;337;42;87;54;11;6;9
1977;PhD;Together;102160;0;0;02.11.2020;54;0;763;29;138;76;176;58;7;9;10
1965;PhD;Single;40637;1;1;17.07.2021;72;0;22;0;13;0;0;3;1;0;3
1984;Master;Single;18890;0;0;10.11.2020;5;0;6;4;1;7;2;15;0;1;2
1988;Graduation;Together;29604;1;0;08.12.2021;88;0;7;6;13;7;6;14;1;0;3
1963;Master;Divorced;48721;1;1;13.05.2021;50;0;81;18;113;47;13;21;4;2;5
1966;Graduation;Married;44794;0;1;08.06.2022;99;0;54;0;7;0;0;4;2;0;3
1954;Graduation;Divorced;64497;0;1;10.09.2020;17;0;1170;48;320;42;32;192;11;4;9
1956;Graduation;Together;46097;0;1;31.03.2021;11;0;72;24;68;65;4;8;3;1;6
1954;Graduation;Together;77972;0;0;18.03.2022;18;0;613;22;319;33;102;12;4;6;9
1968;PhD;Married;44377;1;1;05.10.2020;70;0;224;0;30;0;0;10;5;1;5
1974;Master;Together;46014;1;1;21.01.2021;21;0;410;0;59;19;9;44;7;1;8
1985;Graduation;Married;70951;0;0;04.05.2021;66;0;239;10;554;254;87;54;3;4;9
1977;Graduation;Married;41443;1;0;01.04.2022;79;0;171;7;171;25;19;89;8;1;5
1978;2n Cycle;Single;52195;2;1;12.05.2022;2;0;12;0;4;0;0;1;1;0;2
1948;Master;Married;83790;0;0;15.11.2021;81;0;1076;16;417;42;48;16;8;10;6
1954;Master;Widow;44551;0;1;31.08.2021;24;0;182;4;33;0;0;66;4;1;5
1980;Graduation;Together;69508;1;0;14.11.2020;48;0;824;32;162;42;32;43;11;4;11
1988;2n Cycle;Together;45204;1;0;11.04.2022;93;0;30;11;25;29;1;18;1;1;4
1969;Graduation;Married;72460;0;0;14.11.2021;56;0;377;10;540;80;30;10;3;5;7
1970;PhD;Together;77622;0;2;14.04.2022;3;0;520;7;154;19;0;14;6;3;11
1980;PhD;Married;30732;1;0;05.01.2021;44;0;155;1;25;0;1;3;4;1;4
1962;Graduation;Divorced;63887;0;1;08.09.2020;38;0;897;23;207;15;11;92;9;6;12
1978;Graduation;Together;42011;1;0;26.03.2021;46;0;131;0;16;2;1;39;3;1;4
1976;Graduation;Together;51369;0;1;25.10.2020;84;0;297;7;79;0;11;182;8;2;4
1952;Graduation;Divorced;51537;0;1;09.12.2020;27;0;787;20;204;0;0;92;2;2;11
1972;PhD;Married;79930;0;0;08.08.2020;72;0;792;86;740;67;51;17;3;5;8
1986;PhD;Together;34320;1;0;16.02.2022;66;0;4;1;9;3;0;0;1;0;2
1966;Graduation;Single;37070;1;1;20.03.2021;30;0;231;7;137;4;15;39;5;1;8
1962;2n Cycle;Divorced;81975;0;1;05.01.2021;2;0;983;76;184;180;138;27;6;3;4
1971;Graduation;Together;38590;1;0;15.05.2021;65;0;3;1;8;4;3;3;1;0;2
1951;Graduation;Single;15033;0;0;16.04.2022;37;0;0;4;5;6;0;4;1;0;3
1965;PhD;Married;62745;0;1;23.03.2021;89;0;562;21;464;28;10;32;7;8;11
1975;2n Cycle;Married;22212;1;0;09.12.2021;49;0;5;9;20;6;8;21;2;0;4
1982;Master;Together;23661;1;0;04.12.2021;46;0;18;0;4;0;0;1;1;0;3
1958;PhD;Single;79761;0;1;04.10.2021;32;0;415;5;124;15;35;11;5;2;11
1973;Graduation;Single;7500;1;0;26.12.2021;54;0;5;3;10;12;7;20;3;1;3
1893;2n Cycle;Single;60182;0;1;17.05.2022;23;0;8;0;5;7;0;2;1;0;2
1968;Graduation;Widow;73455;0;0;28.10.2021;98;0;901;61;757;186;163;20;6;5;10
1958;Graduation;Together;64961;0;1;23.12.2020;97;0;382;114;276;75;124;38;6;4;4
1971;Graduation;Single;22804;1;0;31.07.2021;75;0;14;1;7;2;1;1;2;0;2
1990;Graduation;Married;73687;0;0;28.11.2021;8;0;559;153;503;218;13;181;3;9;9
1958;Graduation;Married;61074;0;1;17.08.2020;37;0;789;0;133;0;28;152;11;5;8
1964;PhD;Married;31686;1;1;05.06.2022;31;0;11;0;5;0;0;1;1;0;3
1972;Graduation;Married;80134;1;0;20.05.2021;40;0;1218;16;272;104;0;80;5;3;6
1953;Graduation;Married;75027;0;1;09.01.2021;74;0;925;64;179;133;12;77;9;4;6
1988;PhD;Married;67546;0;0;31.08.2020;90;0;864;134;768;150;38;172;4;10;5
1969;Master;Together;65176;0;1;29.10.2020;57;0;960;28;183;220;70;70;9;6;6
1975;Master;Single;31160;1;0;16.09.2021;59;0;16;3;25;6;1;13;2;0;3
1985;Graduation;Single;29938;1;0;27.10.2021;52;0;3;3;7;0;2;11;1;0;3
1974;Graduation;Divorced;102692;0;0;05.04.2021;5;0;168;148;444;32;172;148;6;9;13
1958;2n Cycle;Together;26490;0;0;22.09.2020;92;0;45;47;52;21;20;25;3;1;5
1967;Graduation;Together;75702;1;1;29.08.2020;77;0;650;28;353;45;42;30;4;6;11
1974;PhD;Single;30899;1;0;13.10.2020;35;0;24;0;8;0;0;1;1;0;3
1961;PhD;Together;63342;0;1;16.10.2020;48;0;918;21;118;13;10;21;8;3;5
1964;Graduation;Single;45989;0;1;22.10.2020;97;0;138;33;87;28;24;12;3;2;7
1964;Graduation;Single;18701;1;1;04.06.2021;95;0;12;4;2;10;6;10;2;0;4
1957;PhD;Single;40737;2;1;08.12.2021;24;0;11;0;4;0;0;2;1;0;2
1979;Graduation;Divorced;15287;1;0;10.10.2020;60;0;1;2;8;4;3;13;1;1;2
1968;PhD;Divorced;69674;0;2;22.05.2021;46;0;554;41;215;11;0;24;10;2;10
1970;Master;Married;44159;1;0;17.06.2022;85;0;167;2;62;24;13;7;4;1;6
1978;PhD;Married;37717;1;0;23.11.2020;31;0;9;0;6;4;1;5;1;0;2
1952;Master;Together;43776;1;1;03.02.2021;9;0;177;2;71;3;2;20;5;2;4
1966;Master;Married;38179;1;1;14.03.2021;30;0;38;4;22;4;2;20;3;1;3
1963;Graduation;Married;80124;0;0;26.06.2022;47;0;483;84;398;205;84;241;3;7;8
1970;PhD;Married;38097;1;1;15.10.2020;70;0;77;2;35;0;1;69;3;2;2
1970;Graduation;Married;72940;0;0;19.06.2021;13;0;182;74;298;162;149;116;3;3;6
1970;Graduation;Together;22070;1;0;04.10.2021;11;0;10;7;19;8;2;21;2;2;2
1953;Graduation;Single;69267;0;0;22.09.2020;31;0;778;44;499;95;73;146;3;4;5
1983;Master;Single;31788;1;0;20.03.2022;15;1;16;7;23;0;8;6;3;0;4
1975;PhD;Together;61905;0;1;04.02.2022;2;0;167;0;43;6;2;13;4;2;4
1960;Graduation;Married;29315;1;1;06.04.2022;55;0;13;2;14;8;7;4;2;0;4
1963;Graduation;Divorced;33378;1;1;06.02.2021;38;0;33;6;40;3;7;10;2;0;4
1963;PhD;Together;66313;0;1;16.09.2021;86;0;625;7;99;10;22;7;6;3;12
1956;Graduation;Single;60714;0;0;17.01.2021;56;0;216;162;224;101;92;162;7;4;10
1981;Master;Together;77882;0;0;30.04.2022;29;0;68;129;396;188;22;15;3;3;5
1986;PhD;Single;69867;0;0;02.04.2021;30;0;196;0;512;33;130;54;3;5;8
1968;Master;Divorced;63841;0;1;21.04.2021;64;0;635;15;100;20;7;131;9;3;9
1981;Basic;Married;24480;1;0;11.02.2021;46;0;4;19;9;28;25;17;3;0;4
1976;Graduation;Together;51369;0;1;25.10.2020;84;0;297;7;79;0;11;182;8;2;4
1946;Graduation;Together;37760;0;0;31.08.2020;20;0;84;5;38;150;12;28;4;1;6
1974;PhD;Together;65640;0;1;01.03.2022;74;0;204;7;149;20;15;66;5;1;8
1975;Master;Married;44319;1;1;17.04.2022;18;0;26;0;8;0;0;3;2;0;3
1974;Graduation;Married;30631;1;0;12.07.2021;75;0;15;6;20;4;5;20;3;1;2
1952;Graduation;Together;75278;0;0;29.01.2021;17;0;304;98;230;150;74;74;6;3;13
1956;Master;Together;50898;1;1;08.01.2021;88;0;285;28;242;55;114;135;6;2;12
1966;Graduation;Widow;79946;0;0;12.05.2022;19;0;395;183;565;166;141;28;5;11;5
1949;Master;Divorced;35416;0;0;13.06.2021;62;0;248;3;81;4;3;51;7;1;5
1984;2n Cycle;Together;32414;0;0;04.07.2021;11;0;20;6;5;0;9;12;1;0;3
1969;Graduation;Together;38361;1;0;27.12.2021;74;0;39;0;56;20;8;14;3;1;3
1980;Graduation;Married;82497;0;0;31.10.2020;32;0;777;129;573;216;21;203;2;7;9
